Date,Account Name,Account Type,Description,Debit,Credit,Balance,Department,Vendor/Customer
2024-01-05,Sales Revenue,Revenue,Online sales,0,12000,12000,Sales,Customer A
2024-01-06,Cash,Asset,Customer payment,12000,0,24000,Sales,Customer A
2024-01-07,Cost of Goods Sold,Expense,Inventory purchase,4500,0,19500,Operations,Supplier Z
2024-01-10,Accounts Receivable,Asset,Invoice 1001,5000,0,24500,Sales,Customer B
2024-01-15,Sales Revenue,Revenue,Invoice 1001 payment,0,5000,29500,Sales,Customer B
2024-02-01,Rent Expense,Expense,Monthly rent,3000,0,26500,Operations,Landlord LLC
2024-02-02,Utilities Expense,Expense,Electricity bill,800,0,25700,Operations,Utility Co
2024-02-03,Accounts Payable,Liability,Supplier invoice,0,2500,23200,Operations,Supplier Z
2024-02-05,Inventory,Asset,Inventory purchase,2500,0,25700,Operations,Supplier Z
2024-02-10,Sales Revenue,Revenue,In-store sales,0,15000,40700,Sales,Customer C
2024-03-01,Payroll Expense,Expense,Monthly payroll,7000,0,33700,Operations,
2024-03-05,Sales Revenue,Revenue,Online sales,0,18000,51700,Sales,Customer D
2024-03-07,Accounts Receivable,Asset,Invoice 1002,8000,0,59700,Sales,Customer E
2024-03-15,Sales Revenue,Revenue,Invoice 1002 payment,0,8000,67700,Sales,Customer E
2024-03-20,Marketing Expense,Expense,Digital ads,2000,0,65700,Marketing,Ad Agency
